identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct16,12,1996,Sedelmayer v. Russia,Mr. Franz Sedelmayer v. The Russian Federation,N/A,Germany - Russian Federation BIT (1989),Russian Federation,Germany,Decided in favour of investor,Arbitration Award dated 7 July 1998,.,.,.,.,,,,,,,,"For case details, see Andrew Higgins ""Beating Russia at Its Own Long Game"" February 19, 2015, NYTimes, accessed online at https://www.nytimes.com/2015/02/10/world/europe/once-friendly-with-putin-german-goes-to-court-over-seized-assets.html?_r=0",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct22,13,1997,Vivendi v. Argentina (I),"Compañía de Aguas del Aconquija S.A. and Vivendi Universal S.A. (formerly Compañía de Aguas del Aconquija, S.A. and Compagnie Générale des Eaux) v. Argentine Republic (I)",(ICSID Case No. ARB/97/3),Argentina - France BIT (1991),Argentina,France,Decided in favour of investor,Award dated 21 November 2000,.,.,.,no,,,,,,,,"For compliance data, see Peterson, Luke Eric. “After Settling Some Awards Argentina Takes More Fractious Path in Bond Holders Case with New Bid to Disqualify Arbitrators” Investment Arbitration Reporter, 30 December 2013. Accessed online.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2007. Vivendi website. Accessed online at http://www.vivendi.com/investment-analysts/financial-results-and-reports/financial-results/#!/2007.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2008. Vivendi website. Accessed online at http://www.vivendi.com/investment-analysts/financial-results-and-reports/financial-results/#!/2008.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2009. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2012/03/2010_03_02_rapport_financier_31122009_EN.pdf.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2010. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2012/03/03_01_2011_Annual_Report.pdf.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2011. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2012/03/120302_2011_Financial_Report.pdf.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2012. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2013/02/20130226_FY-2012-Financial-Report-Statements.pdf.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2013. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2014/02/20140225_Financial_Report_and_Audited_Consolidated_Financial_Statements_FY_2013.pdf.","For reinvestment data, see Vivendi. Annual Financial Report and Audited Consolidated Financial Statements for the Year ended December 31, 2014. Vivendi website. Accessed online at http://www.vivendi.com/wp-content/uploads/2015/02/20150227_Financial_Report_and_Audited_Consolidated_Financial_Statements_FY_2014.pdf.","noncompliance: ""Despite a high-profile settlement with creditors in relation to 5 unpaid arbitral awards, the Argentine Republic is taking a more fractious path in an ongoing arbitration with thousands of Italian investors in Argentine sovereign bonds"" (Source1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct23,14,1997,Lanco v. Argentina,Lanco International Inc. v. Argentine Republic,(ICSID Case No. ARB/97/6),Argentina - United States of America BIT (1991),Argentina,United States of America,Discontinued,Jurisdiction of the Arbitral Tribunal dated 8 December 1998,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct24,15,1997,CSOB. v. Slovak Republic,"Ceskoslovenska Obchodni Banka, a.s. v. The Slovak Republic",(ICSID Case No. ARB/97/4),Czech Republic - Slovakia BIT (1992),Slovakia,Czech Republic,Decided in favour of investor,Decision of the Tribunal on Objections to Jurisdiction dated 24 May 1999,yes,yes,.,yes,.,No investment stats available,2017,CSOB Bank,No transfer,Still holds assets,0,"For reinvestment data, see Ceskoslovenská obchodní banka (CSOB), Annual Report 2004. CSOB website. Accessed online at https://www.csob.sk/documents/11005/98584/Annual_Report_2004.pdf","For reinvestment data, see Ceskoslovenská obchodní banka (CSOB), Annual Report 2015. CSOB website. Accessed online at https://www.csob.cz/portal/documents/10710/550083/ar-csob-2015.pdf","For reinvestment data, see “WMI Business Analysis: Ceskoslovenska Obchodni Banka Private Banking, 25 December 2014.” World Market Intelligence via LexisNexis Academic. Accessed Online.","For reinvestment data, see https://www.csob.cz/portal/documents/10710/550083/ar-csob-2017.pdf",.,.,.,.,.,"CSOB Slovak bank wholly separated from CSOB in 2008, but is still subsidiary of KBC Bank through 100% voting rights (source2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct25,16,1997,Ethyl v. Canada,Ethyl Corporation v. The Government of Canada,N/A,NAFTA,Canada,United States of America,Settled,Award on Jurisdiction dated 24 June 1998,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct26,17,1997,Metalclad v. Mexico,Metalclad Corporation v. The United Mexican States,(ICSID Case No. ARB(AF)/97/1),NAFTA,Mexico,United States of America,Decided in favour of investor,Award dated 30 August 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct27,18,1997,Azinian v. Mexico,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States",(ICSID Case No. ARB (AF)/97/2),NAFTA,Mexico,United States of America,Decided in favour of State,Award dated 1 November 1999,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct28,19,1997,Mafezzini v. Spain,Emilio Agustín Maffezini v. The Kingdom of Spain,(ICSID Case No. ARB/97/7),Argentina - Spain BIT (1991),Spain,Argentina,Decided in favour of investor,Decision of the Tribunal on Objections to Jurisdiction dated 25 January 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct33,20,1998,Myers v. Canada,"S.D. Myers, Inc. v. Government of Canada",N/A,NAFTA,Canada,United States of America,Decided in favour of investor,Final Award (concerning the apportionment of costs between the Disputing Parties) dated 30 December 2002,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct34,21,1998,Schaper v. Poland,Lutz Ingo Schaper v. Republic of Poland,N/A,Germany - Poland BIT (1989),Poland,Germany,Data not available,Data not available,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
