identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct94,69,2001,CCL Oil v. Kazakhstan,CCL Oil v. Republic of Kazakhstan,(SCC Case No. 122/2001),Kazakhstan - United States of America BIT (1992),Kazakhstan,United States of America,Decided in favour of State,Jurisdictional Award dated 2003,.,no,.,.,,,,,,,,"For reinvestment data, see ""Pavlodar Refinery"" APS Review Downstream Trend, 31 July 2006, https://global.factiva.com/redir/default.aspx?P=sa&NS=16&AID=9UNI009700&an=APSD000020061003e27v0000d&cat=a&ep=ASI","For reinvestment data, see ""Kazakhstan - Pavlodar Refinery."" APS Review Downstream Trends, 30 July 2012. Accessedvia Factiva at https://global-factiva-com.ezproxy.lib.utexas.edu/redir/default.aspx?P=sa&an=APSD000020120802e87u0000b&cat=a&ep=ASE.",.,.,.,.,.,.,.,Source2: transfer of ownership in 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct95,70,2001,SGS v. Pakistan,SGS Société Générale de Surveillance S.A. v. Islamic Republic of Pakistan,(ICSID Case No. ARB/01/13),Pakistan - Switzerland BIT (1995),Pakistan,Switzerland,Settled,Decision on Jurisdiction dated 6 August 2003,yes,yes,.,yes,.,I could not find any data on the value of SGS' assets/investments in Pakistan; the only figure contained in the annual reports is the issued capital.,2018,"Capital investments necessary to provide pre-shipment services, including setting up two liaison offices",Divested due to contract termination,Still holds assets,0,"For reinvestment data, see SGS. Annual Report 2004. SGS website. Accessed online at http://www.sgs.com/en/Our-Company/Investor-Relations/Financial-Reports.aspx.","For reinvestment data, see SGS. Annual Report 2005. SGS website. Accessed online at http://www.sgs.com/en/Our-Company/Investor-Relations/Financial-Reports.aspx.","For reinvestment data, see SGS. Annual Report 2015. SGS website. Accessed online at http://www.sgs.com/en/Our-Company/Investor-Relations/Financial-Reports.aspx.",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct96,71,2001,Enron v. Argentina,"Enron Creditors Recovery Corporation (formerly Enron Corporation) and Ponderosa Assets, L.P. v. Argentine Republic",(ICSID Case No. ARB/01/3),Argentina - United States of America BIT (1991),Argentina,United States of America,Decided in favour of investor,Decision on Jurisdiction dated 14 January 2004,.,.,incomplete,no,,,,,,,,"For reinvestment data, see “Empresa Distribuidora y Comercializadora Norte S.A., 16 July 2015.” GlobalData - Investments via LexisNexis Academic. Accessed Online.",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct97,72,2001,AIG v. Kazakhstan,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company v. Republic of Kazakhstan",(ICSID Case No. ARB/01/6),Kazakhstan - United States of America BIT (1992),Kazakhstan,United States of America,Decided in favour of investor,Final Award dated 7 October 2003,yes,.,.,yes,"7,746,034",Total Kazakh assets as of 09/01/2016,2018,Land purchased for construction of housing development,Divested due to contract termination,Divestment in process,0,"For compliance data, see Peterson, Luke Eric. “Deadline Lapses without Payment by Kazakhstan on BIT Award” Investment Arbitration Reporter, 7 May 2010. Accessed online.","For compliance data, see Alexandroff, Alan S. and Ian A. Laird. “Compliance and Enforcement.” In The Oxford Handbook of International Investment Law, edited by Peter Muchlinski, Federico Ortino, and Christoph Scheurer, 1171-1187. Oxford, UK: Oxford University Press, 2008, p. 1181-1182.","For reinvestment data, see American International Group, Inc. 2014 Annual Report. AIG website. Accessed online at http://www-111.aig.com/AIG_Internet/AIG_2014_Annual_Report.pdf.","For reinvestment data see http://www.xprimm.com/AIG-turns-off-its-business-in-Kazakhstan-articol-2,12,32-8559.htm",.,.,.,.,.,noncompliance: Firm sought to enforce the award in English High Court of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct102,73,2002,France Telecom v. Lebanon,France Telecom v. Lebanon,N/A,France - Lebanon BIT (1996),Lebanon,France,Decided in favour of investor,Award dated 22 February 2005,yes,.,.,yes,.,"Orange Business Services signed a contract to provide internet services in Lebanon in 2012, but I can find no evidence of this transaction in the company's financials and no news about what happened after the contract was signed.",2012,"Telecom subsidiary, Cellis",Divested due to contract termination,Unclear,0,For details on reinvestment 'Orange Business Services renews next-generation telecoms service contract in Lebanon see http://www.orange-business.com/en/press/orange-business-services-renews-next-generation-telecoms-service-contract-in-lebanon. Accessed online.,"For reinvestment data, see Orange SA's scope of consolidation and equity securities: https://www.orange.com/en/content/download/31164/935421/version/9/file/Orange%20SA%27s%20scope%20of%20consolidation%20and%20equity%20securities%20at%20December%2031%2C%202016.pdf. Accessed online",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct103,74,2002,Aguas del Tunari v. Bolivia,Aguas del Tunari S.A. v. Republic of Bolivia,(ICSID Case No. ARB/02/3),"Bolivia, Plurinational State of - Netherlands BIT (1992)","Bolivia, Plurinational State of",Netherlands,Settled,Decision on Jurisdiction dated 21 October 2005,.,no,no,no,,,,,,,,"For reinvestment data, see Bechtel. “Projects.” Bechtel website. Accessed online at http://www.bechtel.com/projects/.",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct104,75,2002,Champion Trading and Ameritrade v. Egypt,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",(ICSID Case No. ARB/02/9),Egypt - United States of America BIT (1986),Egypt,United States of America,Decided in favour of State,Decision on Jurisdiction dated 21 October 2003,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct105,76,2002,Occidental v. Ecuador (I),Occidental Exploration and Production Company v. Republic of Ecuador (I),(LCIA Case No. UN3467),Ecuador - United States of America BIT (1993),Ecuador,United States of America,Decided in favour of investor,Award dated 1 July 2004,yes,yes,.,no,144000000,Sale price of Argentine assets (2011),2011,,,Divested in 2011,1,"For reinvestment data, see Occidental Petroleum Corporation. 2004 Form 10-K Annual Report. Accessed online at http://services.corporate-ir.net/SEC.Enhanced/SecCapsule.aspx?c=76816&fid=3318481.","For reinvestment data, see Occidental Petroleum Corporation. 2015 Form 10-K Annual Report. Accessed online at http://services.corporate-ir.net/SEC.Enhanced/SecCapsule.aspx?c=76816&fid=14234357.","For reinvestment data, see Occidental webite. Accessed online at: http://www.oxy.com/News/Pages/Article.aspx?Article=5681.html",.,.,.,.,.,.,"noncompliance: Ecuador asked English courts to set aside the award (English court rejected). Reinvestments: According to every Occidental Annual Report since 2006, they have ceased operations in Ecuador following their dispute in 2006. However, each report lists Occidental subsidiary ""Occidental del Ecuador."" Considering that this subsidiary is registered in Nevis, it is assumed that the company is not operating in Ecuador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct106,77,2002,Siemens v. Argentina,Siemens A.G. v. The Argentine Republic,(ICSID Case No. ARB/02/8),Argentina - Germany BIT (1991),Argentina,Germany,Decided in favour of investor,Award dated 6 February 2007,yes,yes,.,yes,.,"Siemens has a number of Argentine subsidiaries and has received two large Argentine contracts in recent years; however, I can't find any details on the value of these investments",2018,,,Still holds assets,,"For reinvestment data, see “Siemens in Argentina 2014”. Siemens website. Accessed online at http://www.siemens.com/about/pool/worldwide/siemens_argentina_en.pdf","For reinvestment data, see Siemens. Annual Report Fiscal 2014. Siemens website. Accessed online at http://www.siemens.com/annual/14/en/index/.",For reinvestment data see https://www.siemens.com/investor/pool/en/investor_relations/Siemens_AR2017.pdf,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct107,78,2002,Tokios Tokelés v. Ukraine,Tokios Tokelés v. Ukraine,(ICSID Case No. ARB/02/18),Lithuania - Ukraine BIT (1994),Ukraine,Lithuania,Decided in favour of State,Decision on Jurisdiction dated 29 April 2004,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct108,79,2002,Chemtura v. Canada,Crompton (Chemtura) Corp. v. Government of Canada,N/A,NAFTA,Canada,United States of America,Decided in favour of State,Award dated 2 August 2010,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct109,80,2002,SGS v. Philippines,SGS Société Générale de Surveillance S.A. v. Republic of the Philippines,(ICSID Case No. ARB/02/6),Philippines - Switzerland BIT (1997),Philippines,Switzerland,Settled,Decision of the Tribunal on Objections to Jurisdiction dated 29 January 2004,yes,.,.,yes,.,I could not find any data on the value of SGS' assets/investments in the Phillipines; the only figure contained in the annual reports is the issued capital.,2018,,,Still holds assets,0,"For reinvestment data, see SGS. Annual Report 2014. SGS website. Accessed online at http://www.sgs.com/en/Our-Company/Investor-Relations/Financial-Reports.aspx.",https://www.sgs.com/-/media/global/documents/financial-documents/financial-reports/2017/sgs-2017-annual-report.pdf?la=en,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct110,81,2002,JacobsGibb v. Jordan,JacobsGibb Limited v. Hashemite Kingdom of Jordan,(ICSID Case No. ARB/02/12),Jordan - United Kingdom BIT (1979),Jordan,United Kingdom,Settled,"Order taking note of the discontinuance issued by the Tribunal dated 13 October 2004, pursuant to Arbitration Rule 43(1)",.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct111,82,2002,Canfor v. USA,Canfor Corporation v. United States of America,N/A,NAFTA,United States of America,Canada,Settled,Decision on Preliminary Question dated 6 June 2006,yes,.,.,yes,409798260,Total US assets as of 12/31/2017,2018,,,Still holds assets,0,"For reinvestment data, see Canfor Website. ""Our Operations."" Accessed online at http://www.canfor.com/our-company/operations.","For reinvestment data, see Canfor Reports. ""2008 Annual Report."" Accessed online at http://www.canfor.com/investor-relations/reports/annual-reports.","For reinvestment data, see Canfor Annual Reports. ""2015 Annual Report."" Accessed online at http://www.canfor.com/investor-relations/reports/annual-reports.",For reinvestment data see http://www.canfor.com/docs/default-source/annual-reports/canfor_corp_2017_final.pdf?sfvrsn=4c7cec91_2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct112,83,2002,Soufraki v. UAE,Hussein Nauman Soufraki v. United Arab Emirates,(ICSID Case No. ARB/02/7),Italy - United Arab Emirates BIT (1995),United Arab Emirates,Italy,Decided in favour of State,Award dated 7 July 2004,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct113,84,2002,AES v. Argentina,AES Corporation v. Argentine Republic,(ICSID Case No. ARB/02/17),Argentina - United States of America BIT (1991),Argentina,United States of America,Pending,Decision on Jurisdiction dated 26 April 2005,yes,.,.,yes,223000000,Total Argentine assets as of 12/31/2017,2018,,,Still holds assets,1,"For reinvestment data, see The AES Corporation. Annual Report 2014. AES website. Accessed online at http://www.aes.com/files/OAR/2014/files/2014_AR_Form_10-K.pdf.","For reinvestment data, see “The AES Corporation, September 28, 2015.” LexisNexis Corporate Affiliations via LexisNexis Academic. Accessed Online.",For reinvestment data see http://s2.q4cdn.com/825052743/files/doc_financials/annual/2017/81970_FINAL_JL_rev2.pdf,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct114,85,2002,PSEG v. Turkey,PSEG Global Inc. and Konya Ilgin Elektrik Üretim ve Ticaret Limited Sirketi v. Republic of Turkey,(ICSID Case No. ARB/02/5),Turkey - United States of America BIT (1985),Turkey,United States of America,Decided in favour of investor,Decision on Jurisdiction dated 4 June 2004,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct115,86,2002,Nagel v. Czech Republic,William Nagel v. The Czech Republic,(SCC Case No. 049/2002),Czech Republic - United Kingdom BIT (1990),Czech Republic,United Kingdom,Decided in favour of State,Final Award dated 9 September 2003,.,.,.,.,,,,,,,,"For compliance data, see Investment Law and Policy Weekly News Bulletin, the International Institute for Sustainable Development, 13 April, 2004, p. 4-5. Accessed online.","For reinvestment data, see ""Final Award."" Issued 9 September 2003. Accessed via ITALaw at https://www.italaw.com/sites/default/files/case-documents/ita0551.pdf.",.,.,.,.,.,.,.,noncompliance: Firm asks Swedish court (Svea Court of Appeal) to set aside the award. Court rejects appeal (2005). Source2: expectations of claimant did not constitute investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct116,87,2002,GAMI v. Mexico,"GAMI Investments, Inc. v. United Mexican States",N/A,NAFTA,Mexico,United States of America,Decided in favour of State,Final Award dated 15 November 2004,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct117,88,2002,Sempra v. Argentina,Sempra Energy International v. Argentine Republic,(ICSID Case No. ARB/02/16),Argentina - United States of America BIT (1991),Argentina,United States of America,Decided in favour of investor,Award dated 28 September 2007,yes,yes,.,no,13000000,Total Argentine assets at time of sale,2013,,,Divested in 2013,1,"For reinvestment data, see LG&E and KU Energy LLC. Form 10-K for the fiscal year ended December 31, 2011. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Sempra Energy Quarterly Report (Filing 10-Q). 9 September, 2009. Accessed online via http://investor.shareholder.com/sre/sec.cfm","For reinvestment data, see http://investor.sempra.com/static-files/4d79588f-b508-4ff7-97c4-de5e72041b53",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct118,89,2002,Kenex v. USA,Kenex Ltd. v. United States of America,N/A,NAFTA,United States of America,Canada,Discontinued,None,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct119,90,2002,Frank v. Mexico,Robert J. Frank v. United Mexican States,N/A,NAFTA,Mexico,United States of America,Discontinued,None,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct120,91,2002,Impregilo v. Pakistan (I),Impregilo S.p.A. v. Islamic Republic of Pakistan (I),(ICSID Case No. ARB/02/2),Italy - Pakistan BIT (1997),Pakistan,Italy,Discontinued,"Order taking note of the discontinuance of the proceeding issued by the Secretary General dated 11 June 2002, pursuant to Arbitration Rule 44",yes,.,.,yes,.,"Impregilo (and later Salini-Impregilo) has never released info on their Pakistani subsidiaries, aside from listing their names and the % of stock held by Impregilo.",2018,,,Still holds assets,0,"For details on reinvestment, see 'Annual report, 2016 ( pg. 456)' https://www.salini-impregilo.com/static/upload/ann/annual-report-2016/annual-report-2016.pdf. Accessed online.","For details on case, see 'Italy Impregilo, WAPDA Agree on Additional Cost' https://global-factiva-com.ezproxy.lib.utexas.edu/ga/default.aspx. Accessed online",.,.,.,.,.,.,.,Equity investment on contracting company (source 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct121,92,2002,Thunderbird v. Mexico,International Thunderbird Gaming Corporation v. The United Mexican States,N/A,NAFTA,Mexico,Canada,Decided in favour of State,Arbitral Award dated 26 January 2006,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct122,93,2002,LG&E v. Argentina,"LG&E Energy Corp., LG&E Capital Corp. and LG&E International Inc. v. Argentine Republic",(ICSID Case No. ARB/02/1),Argentina - United States of America BIT (1991),Argentina,United States of America,Decided in favour of investor,Decision of the Arbitral Tribunal on Objections to Jurisdiction dated 30 April 2004,.,.,.,no,,,,,,,,"For reinvestment data, see Sempra Energy. Annual Report 2009. Retrieved from SEC EDGAR website. Accessed online.",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct123,94,2002,IBM v. Ecuador,IBM World Trade Corp. v. Republic of Ecuador,(ICSID Case No. ARB/02/10),Ecuador - United States of America BIT (1993),Ecuador,United States of America,Settled,Decision on Jurisdiction dated 22 December 2003,yes,.,.,yes,.,"IBM continues to operate in Ecuador under the name ""IBM Ecuador,"" but IBM's Ecuadorian assets/investments are not detailed in their annual reports or SEC filings.",2018,,,Still holds assets,0,"For reinvestment data, see “International Business Machines Corporation, 2 November 2015.” LexisNexis Corporate Affiliations via LexisNexis Academic. Accessed online.","For reinvestment data, see IBM. 2004 Annual Report. IBM website. Accessed online at ftp://public.dhe.ibm.com/annualreport/2004/2004_ibm_annual.pdf.","For reinvestment data, see IBM. 2005 Annual Report. IBM website. Accessed online at ftp://public.dhe.ibm.com/annualreport/2005/2005_ibm_annual.pdf.","For reinvestment data, see IBM. 2007 Annual Report. IBM website. Accessed online at ftp://public.dhe.ibm.com/annualreport/2007/2007_ibm_annual.pdf.","For reinvestment data, see IBM. 2009 Annual Report. IBM website. Accessed online at http://www.ibm.com/annualreport/2009/2009_ibm_annual.pdf.","For reinvestment data, see IBM. 2011 Annual Report. IBM website. Accessed online at http://www.ibm.com/annualreport/2011/bin/assets/2011_ibm_annual.pdf.","For reinvestment data, see IBM. 2013 Annual Report. IBM website. Accessed online at http://www.ibm.com/annualreport/2013/bin/assets/2013_ibm_annual.pdf.",.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct124,95,2002,Fireman's Fund v. Mexico,Fireman's Fund Insurance Company v. The United Mexican States,(ICSID Case No. ARB(AF)/02/1),NAFTA,Mexico,United States of America,Decided in favour of State,Decision on the Preliminary Question dated 17 July 2003,yes,yes,.,yes,.,Allianz does not disaggregate the financial statistics provided in its annual reports/SEC filings.,2018,,,Still holds assets,0,"For reinvestment data, see Allianz Group. Annual Report 2007. Allianz website. Accessed online at https://www.allianz.com/v_1339500346000/media/investor_relations/en/results_reports/annual_report/archive/2007_az_group_e.pdf.","For reinvestment data, see Allianz Group. Annual Report 2014. Allianz website. Accessed online at https://www.allianz.com/v_1426595532000/media/investor_relations/en/results_reports/annual_report/ar2014/ar2014_group.pdf.",For reinvestment data see https://www.allianz.com/v_1521475992396/media/investor_relations/en/results_reports/annual_report/ar2017/en-group-2017-annual-report-allianz-group.pdf,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct125,96,2002,Salini v. Jordan,Salini Costruttori S.p.A. and Italstrade S.p.A. v. Hashemite Kingdom of Jordan,(ICSID Case No. ARB/02/13),Italy - Jordan BIT (1996),Jordan,Italy,Decided in favour of State,Award dated 31 January 2006,yes,.,.,yes,.,The last evidence I can find of Salini's investment in Jordan is from their 2013 annual report. No investment figures listed,2013,,,Unclear,0,"For reinvestment data, see “Key Facts: Salini Costruttori SpA, 2 May 2014.” Globaldata via LexisNexis Academic. Accessed Online.","For reinvestment data, see Salini Annual Report 2009. pp. 36–37, Salini Annual Report 2009, www.salini-impregilo.com/static/upload/ann/annrep2009_eng.pdf.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct126,97,2002,Ahmonseto v. Egypt,"Ahmonseto, Inc. and others v. Arab Republic of Egypt",(ICSID Case No. ARB/02/15),Egypt - United States of America BIT (1986),Egypt,United States of America,Decided in favour of State,Award dated 18 June 2007,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct132,98,2003,Encana v. Ecuador,EnCana Corporation v. Republic of Ecuador,(LCIA Case No. UN3481),Canada - Ecuador BIT (1996),Ecuador,Canada,Decided in favour of State,Award dated 3 February 2006,.,no,no,no,,,,,,,,"For reinvestment data, see “Encana to Sell Its Oil and Pipeline Business in Ecuador to Andes Petroleum Company for US$1.42 billion, 13 September 2005.” Encana website. Accessed online.","For reinvestment data, see “EnCana Corporation, 25 September 2015.” GlobalData – History via LexisNexis Academic. Accessed Online.","For reinvestment data, see Encana 2006 Annual Report. Accessed online at http://encana.com/pdf/investors/financial/annual-reports/2006/2006-annual-report.pdf.",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct133,99,2003,Bayindir v. Pakistan,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. v. Islamic Republic of Pakistan,(ICSID Case No. ARB/03/29),Pakistan - Turkey BIT (1995),Pakistan,Turkey,Decided in favour of State,Decision on Jurisdiction dated 14 November 2005,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct134,100,2003,Glamis Gold v. USA,Glamis Gold Ltd. v. United States of America,N/A,NAFTA,United States of America,Canada,Decided in favour of State,Award dated 8 June 2009,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
