filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2007,pending,ARG,ITA,n.a.,n.a.,n.a.,n.a.,"Giovanni Alemanni, et al v. Argentine Republic",ICSID,ARB/07/8,Argentina-Italy BIT ,Finance (debt instruments),FIN,US$1.2b,1200,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,ARG,ESP,n.a.,n.a.,n.a.,n.a.,"Teinver SA, Transportes de Cercan’as SA and Autobuses Urbanos del Sur SA v. Argentine Republic",ICSID,ARB/09/1,Argentina-Spain BIT,Aviation,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,ARG,ESP,n.a.,n.a.,n.a.,n.a.,"Urbaser S.A. & Consorcio de Aguas Bilbao Biskaia, Bilbao Biskaia Ur Partzuergoa v. Argentine Republic ",ICSID,ARB/07/26,Argentina-Spain BIT ,Water services concession,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,pending,ARG,USA,n.a.,n.a.,n.a.,n.a.,Mobil Exploration and Development Inc. Suc. Argentina & Mobil Argentina SA v. Argentine Republic ,ICSID,ARB/04/16,Argentina-United States BIT,Oil and gas (gas production),OIL,In excess of $200m,200,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2005,2011,ARG,CAN,n.a.,n.a.,n.a.,n.a.,Bank of Nova Scotia (or Scotiabank BNS) v. Argentine Republic,UNCITRAL,n.a.,Argentina-Canada BIT,Banking,FIN,Approximately US$600m,600,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,ARG,CHL,n.a.,n.a.,n.a.,n.a.,Compania General de Electricidad SA & CGE Argentina SA v. Argentine Republic ,ICSID,ARB/05/2,Argentina-Chile BIT,Electric power concession,UTL,US$125m,125,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2006,ARG,CHL,n.a.,n.a.,n.a.,n.a.,"Enersis S.A., Chilectra SA, Empresa Nacional de Electricidad SA, & ELESUR v. Argentine Republic",ICSID,ARB/03/21,Argentina-Chile BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,ARG,FRA,n.a.,n.a.,n.a.,n.a.,France Telecom SA v. Argentina Republic,ICSID,ARB/04/18,Argentina-France BIT,Telecommunications,TEL,US$300m,300,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2006,ARG,FRA,n.a.,n.a.,n.a.,n.a.,Electricidad Argentina SA & EDF International SA v. Argentine Republic,ICSID,ARB/03/22,Argentina-France BIT,Electric power concession,UTL,Approximately US$200m,200,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2008,ARG,USA,n.a.,n.a.,n.a.,n.a.,"BP America Production Company, Pan American Sur SRL, Pan American Fueguina, SRL and Pan American Continental SRLothers v. Argentine Republic ",ICSID,ARB/04/8 consolidated with ARB/03/13,Argentina-France BIT ,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
