Number,Case,identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Details of investment,Summary of the dispute,Economic Sector,Economic Subsector,Arbitration Rules,Administering institution,Tribunal Composition,President of Tribunal or Sole Arbitrator,Arbitrator Appointed by claimant,Arbitrator Appointed by/designated to respondent,Status/Outcome of original proceedings,Award 1,Award 2,Award 3,Award 4,Award 5,Award 6,Award 7,Investor Claims,Tribunal Awards,Alleged Breaches,UNCTADclaim1,UNCTADclaim2,UNCTADclaim3,UNCTADclaim4,UNCTADclaim5,UNCTADclaim6,UNCTADclaim7,UNCTADclaim8,UNCTADclaim9,Breaches Found,Follow-on Proceedings,Link to Italaw's case page,Links to background sources,arb_id,RA_coder,host,filed,end,home,parties,venue,caseno,sector,invst_type,invst_dispute,asought,winner,ainvst,Individual,firm_2015,front,no_investment,notes,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,unctad,_mergearbid,_mergecaseno,enforceRIITA,enforce_text_drop,enforce_endRIITA,enforce_startRIITA,parties_drop,annul,annul_status,annul_end,exp_direct,exp_other,enforce,enforce_type,enforce_outcome,enforce_end,legal1,legal2,legal3,legal_bit_a,legal_bit_b,home2,home3,home4,home5,home6,Ruling details available,claim1_name,claim1_ruledon,claim1_upheld,claim1_appeal,claim1_appealupheld,claim1_jurisdiction,claim2_name,claim2_ruledon,claim2_upheld,claim2_appeal,claim2_appealupheld,claim2_jurisdiction,claim3_name,claim3_ruledon,claim3_upheld,claim3_appeal,claim3_appealupheld,claim3_jurisdiction,claim4_name,claim4_ruledon,claim4_upheld,claim4_appeal,claim4_appealupheld,claim4_jurisdiction,claim5_name,claim5_ruledon,claim5_upheld,claim5_appeal,claim5_appealupheld,claim5_jurisdiction,claim6_name,claim6_ruledon,claim6_upheld,claim6_appeal,claim6_appealupheld,claim6_jurisdiction,claim7_name,claim7_ruledon,claim7_upheld,claim7_appeal,claim7_appealupheld,claim7_jurisdiction,claim8_name,claim8_ruledon,claim8_upheld,claim8_appeal,claim8_appealupheld,claim8_jurisdiction,dissenting_opinion,dissent_description,claimchoice_text,claimchoice_code,law_text,law_code,lawchange_text,lawchange_code,lawchange_date,lawsettle_text,lawsette_code,lawnews_text,lawnews_code,lawcount_text,lawcount_code,lawcount_total,lawafter_text,other_text,X__1,ipd_coder,yearstart,econsector,totalclaims,UNCTAD_totalclaims,UNCTAD_indir_exp,UNCTAD_dir_exp,UNCTAD_FET,UNCTAD_MST,UNCTAD_fullprotect,UNCTAD_umbrella,UNCTAD_arbitrary,UNCTAD_MFN,UNCTAD_natltreatment,UNCTAD_transfer_funds,UNCTAD_perf_reqs,UNCTAD_other,JoWe_indir_exp,JoWe_dir_exp,JoWe_FET,JoWe_MST,JoWe_fullprotect,JoWe_umbrella,JoWe_arbitrary,JoWe_MFN,JoWe_natltreatment,JoWe_perf_reqs,JoWe_transfer_funds,total_core_JoWe,total_core_UNCTAD,FET_ruledon,IndirExp_ruledon,DirExp_ruledon,FPS_ruledon,MST_ruledon,MFN_ruledon,Arbitrary_ruledon,NatTreat_ruledon,Umbrella_ruledon,Transfer_ruledon,PerfReqs_ruledon,FET_upheld,IndirExp_upheld,DirExp_upheld,FPS_upheld,MST_upheld,MFN_upheld,Arbitrary_upheld,NatTreat_upheld,Umbrella_upheld,Transfer_upheld,PerfReqs_upheld,claimsruled_total,claimsruled_core,FET_jurisdiction,IndirExp_jurisdiction,DirExp_jurisdiction,FPS_jurisdiction,MFN_jurisdiction,NatTreat_jurisdiction,MST_jurisdiction,total_core_jurisdiction,total_core_jurisdictionMST,nonruled_jurisdiction_claims,nonruled_jurisdiction_claimsMST,ruled_on_merits
NA,NA,ct1,1,1987,AAPL v. Sri Lanka,Asian Agricultural Products Ltd. (AAPL) v. Republic of Sri Lanka,(ICSID Case No. ARB/87/3),Sri Lanka - United Kingdom BIT (1980),Sri Lanka,United Kingdom,Shareholding in a Sri Lankan shrimp farming enterprise.,Claims arising out of the alleged destruction of claimant's investment during a military operation conducted by Sri Lanka security forces.,"Primary: A - Agriculture, forestry and fishing",3 - Fishing and aquaculture,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),President,"El-Kosheri, A. S.","Goldman, B.","Asante, S. K.B.",Decided in favour of investor,Award dated 27 June 1990,Dissenting Opinion of Samuel K.B. Asante (Award),N/A,N/A,N/A,N/A,N/A,8.00 mln USD,0.46 mln USD,"Full protection and security, or similar/Losses sustained due to insurrection, war, or similar events/Customary rules of international law","Full protection and security, or similar","Losses sustained due to insurrection, war, or similar events",Customary rules of international law,No claim,No claim,No claim,No claim,No claim,No claim,Customary rules of international law,None,http://italaw.com/cases/96,https://icsid.worldbank.org/en/Pages/cases/casedetail.aspx?CaseNo=ARB/87/3/http://www.biicl.org/files/3937_1990_aapl_v_sri_lanka.pdf,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,Protection and Security,1,0,.,.,1,Minimum Standard of Treatment,1,1,.,.,1,Destruction of property by the other party’s forces,1,0,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,1,Dissenter argues that respondent did not violate any treaty provision.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,1987,AGR,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,2,0,0,1
NA,NA,ct4,2,1993,AMT v. Zaire,"American Manufacturing & Trading, Inc. v. Republic of Zaire",(ICSID Case No. ARB/93/1),"Congo, Democratic Republic of the - United States of America BIT (1984)","Congo, Democratic Republic of the",United States of America,Majority shareholding in company engaged in the production and sale of automotive and dry cell batteries and in the importation and resale of consumer goods and foodstuffs.,"Claims arising out of two alleged episodes of looting in which soldiers of the Zairian armed forces destroyed, damaged or took away certain property, finished goods, raw materials and other objects of value belonging to the local subsidiary of the investor.",Secondary: C - Manufacturing,27 - Manufacture of electrical equipment,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),President,"Sucharitkul, S.","Golsong, H.","Mbaye, K.",Decided in favour of investor,Award dated 21 February 1997,Statement of the Individual Opinion of Mr. Heribert Golsong (Award),Declaration by Mr. Keba Mbaye (Award),N/A,N/A,N/A,N/A,21.50 mln USD,9.00 mln USD,"Full protection and security, or similar/Losses sustained due to insurrection, war, or similar events","Full protection and security, or similar","Losses sustained due to insurrection, war, or similar events",No claim,No claim,No claim,No claim,No claim,No claim,No claim,"Full protection and security, or similar/Losses sustained due to insurrection, war, or similar events",None,http://www.italaw.com/cases/76,https://icsid.worldbank.org/en/Pages/cases/casedetail.aspx?CaseNo=ARB/93/1/http://www.biicl.org/files/3933_1997_amt_v_zaire.pdf,739,VL,ZAR,1993,1997,USA,American Manufacturing and Trading v. Zaire (DRC),ICSID,ARB/93/1,MFG,Majority shareholding in company engaged in the production and sale of automotive and dry cell batteries and in the importation and resale of consumer goods and foodstuffs.,"Claims arising out of two alleged episodes of looting in which soldiers of the Zairian armed forces destroyed, damaged or took away certain property, finished goods, raw materials and other objects of value belonging to the local subsidiary of the investor.",22,investor,9,0,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,"For details on case, see LexisNexis. George Washington International Law Review. 2003. Accessed online at:http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T26626374926&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T26626374906&cisb=22_T26626374928&treeMax=true&treeWidth=0&csi=12492&docNo=1",.,.,.,.,.,.,.,.,.,1,matched (3),matched (3),no evidence,no,no evidence,no evidence,American Manufacturing and Trading v. Zaire (DRC),no,.,.,0,1,no,no,no,no,BIT,.,.,DRC,United States,.,.,.,.,.,1,Protection and Security,1,1,.,.,1,MFN,1,1,.,.,1,Destruction of property by the other party’s forces,0,0,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,0,.,"The Tribunal does not see any use in seeking to reach a definite conclusion to establish for the third time the responsibility of the Republic of Zaire, for the same losses and for the same injuries caused to the detriment of AMT. The Tribunal therefore regrains from making any pronouncement on this very question.",Unnecessary,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,1993,MFG,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,0,2,2,0,0,1
NA,NA,ct8,4,1994,Saar Papier v. Poland (I),Saar Papier Vertriebs GmbH v. Republic of Poland (I),N/A,Germany - Poland BIT (1989),Poland,Germany,Ownership of local subsidiary company for import of waste-paper into Poland.,Claims arising out of the prohibition on importation of raw material waste paper pursuant to a statutory amendment concerning environmental protection.,"Tertiary: E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",UNCITRAL,None (no administering institution),President,"Karrer, P. A.","Ahrens, G.","Szurski, T.",Decided in favour of investor,Interim Award on Jurisdiction dated 17 August 1994,Dissenting Opinion of Dr. habil. Tadeusz Szurski (Interim Award on Jurisdiction),Final Award dated 16 October 1995,Dissenting Opinion of Dr. habil. Tadeusz Szurski (Final Award),N/A,N/A,N/A,2.30 mln DEM (1.60 mln USD),2.30 mln DEM (1.60 mln USD),Indirect expropriation,Indirect expropriation,No claim,No claim,No claim,No claim,No claim,No claim,No claim,No claim,Indirect expropriation,Data not available,http://www.italaw.com/cases/946,N/A,519,EC,POL,1994,1995,DEU,Saar Papier v. Poland (I),UNCITRAL,.,SER,Ownership of local subsidiary company for import of waste-paper into Poland.,Claims arising out of the prohibition on importation of raw material waste paper pursuant to a statutory amendment concerning environmental protection.,2,investor,2,.,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,"For case details, see UNCTAD ""Saar Papier v. Poland (I)"" accessed online at http://investmentpolicyhub.unctad.org/ISDS/Details/4","For case details, see Christine Chinkin & Freya Baetens ""Sovereignty, Statehood and State Responsibility"" (2015) accessed online via Google Books.",.,.,.,.,.,.,.,.,1,master only (1),"NA","NA","NA","NA","NA","NA",.,.,.,0,1,"NA",.,no,no,BIT,.,.,Germany,Poland,.,.,.,.,.,1,Indirect Expropriation,1,1,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,1,"One arbitrator argues that matters of expropriation should not be ruled on by international arbitrators, according to article 4.2 of the BIT which states that matters of expropriation are the domain of domestic courts. Additionally, he disagrees that Poland's actions constitute expropriation.",.,.,"""On July 1, 1989, apparently unbeknownst to all the persons involved, the amendment of the Statute of April 27, 1989 on environmental protection, came into force.""",Legislative,"from UNCITRAL award: ""In the meantime the law was changed (as distinguished from a prohibition of waste in general)""; from iareporter: ""(Indeed, the tribunal noted that the law was later amended again in 1993 – albeit after Saar Papier’s Polish subsidiary had succumbed to bankruptcy – so as to prohibit only the import of “dangerous” waste.)""",Amended,1993,.,.,.,.,.,.,.,.,.,NA,NA,1994,SER,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
NA,NA,ct9,5,1995,Goetz v. Burundi (I),Antoine Goetz and others v. Republic of Burundi (I),(ICSID Case No. ARB/95/3),BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Burundi,Belgium,Ownership of local subsidiary involved in the production and marketing of precious metals.,Claims arising out of the Government's alleged withdrawal of a certificate of free zone conferring tax and customs exemptions.,Primary: B - Mining and quarrying,8 - Other mining and quarrying,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),President,"Weil, P.","Bredin, J.-D.","Bedjaoui, M.",Settled,Decision on Liability dated 2 September 1998,Award (Embodying the Parties' Settlement Agreement) dated 10 February 1999,N/A,N/A,N/A,N/A,N/A,175.00 mln USD,3.00 mln USD,Indirect expropriation,Indirect expropriation,No claim,No claim,No claim,No claim,No claim,No claim,No claim,No claim,Indirect expropriation,None,http://www.italaw.com/cases/508,https://icsid.worldbank.org/en/Pages/cases/casedetail.aspx?CaseNo=ARB/95/3/https://www.transnational-dispute-management.com/downloads/1859_Case_Report_Antoine_Goetz_v_Burundi.pdf,78,RIK,BDI,1995,1999,BEL,Antoine Goetz et al v. Burundi (I),ICSID,ARB/95/3,MIN,Ownership of local subsidiary involved in the production and marketing of precious metals.,Claims arising out of the Government's alleged withdrawal of a certificate of free zone conferring tax and customs exemptions.,175,settlement,3,1,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,1,matched (3),matched (3),n.a.,no,n.a.,n.a.,Antoine Goetz et al v. Burundi (I),no,.,.,0,1,no,no,no,no,BIT,.,.,Belgium and Luxembourg,Burundi,NA,.,.,.,.,1,Indirect Expropriation,1,1,.,.,1,Arbitrary/unreasonable/discriminatory treatment,1,0,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,.,.,.,"Decree-law 1/30 (31 August 1992), which creates a free trade zone in Burundi; a series of ordinances from the Ministry of Commerce and Industry (750/415, 29 September 1992; 750/184, 29 May 1995), which implement the decree-law and exclude the claimant from this free trade zone",Legislative/Executive,"Given the choice between changing the law and compensating the claimant, Burundi chose to compensate the claimant, signing a special 10-year agreement with tax benefits",No change,.,.,.,.,.,"Parallel case with Goetz v. Burundi (II), ct84",1,2,.,Settled. The Tribunal gave Burundi a choice: either compensate the claimant or reverse the contested measure. Burundi chose to compensate the claimant and signed a 10-year agreement granting the claimant tax benefits.,NA,NA,1995,MIN,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1
NA,NA,ct13,9,1996,Biedermann v. Kazakhstan,"Biedermann International, Inc. v. The Republic of Kazakhstan and The Association for Social and Economic Development of Western Kazakhstan ""Intercaspian""",(SCC Case No. 97/1996),Kazakhstan - United States of America BIT (1992),Kazakhstan,United States of America,Oil concession agreement to develop the Kenbai field in the Atyrau region.,Claims arising out of the Government's termination of an oil concession agreement entered into with the claimant.,Primary: B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Data not available,N/A,N/A,N/A,Decided in favour of investor,Award dated 2 August 1999,N/A,N/A,N/A,N/A,N/A,N/A,Data not available,8.90 mln USD,Indirect expropriation,Indirect expropriation,No claim,No claim,No claim,No claim,No claim,No claim,No claim,No claim,Indirect expropriation,None,http://italaw.com/cases/149,http://books.google.ch/books?id=30uOAgAAQBAJ&pg=PA40&lpg=PA40&dq=biedermann+kazakhstan&source=bl&ots=7n1feZ3qyL&sig=RfND04bVlrcLGSuqDbVNJPRLPRs&hl=en&sa=X&ei=NVU2VL70GoutPMTggJAH&ved=0CDwQ6AEwBQ#v=onepage&q=biedermann%20kazakhstan&f=false/http://www.iisd.org/itn/wp-content/uploads/2010/10/investment_investsd_oct8_2003.pdf/http://www.google.ch/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&ved=0CFcQFjAJ&url=http%3A%2F%2Fwww.iareporter.com%2Fdownloads%2F20100107_14%2Fdownload&ei=Flc2VKCtKYiwPKPtgNAE&usg=AFQjCNFFCktqbMA6B9UZbgCnxLVG2RTtCA&cad=rja,378,"LM, VL",KAZ,1996,1999,USA,"Biedermann International, Inc. v. Kazakhstan",SCC,97/1996,OIL,Oil concession agreement to develop the Kenbai field in the Atyrau region.,Claims arising out of the Government's termination of an oil concession agreement entered into with the claimant.,.,investor,9,0,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,1,matched (3),matched (3),no evidence,no,no evidence,no evidence,"Biedermann International, Inc. v. Kazakhstan",.,.,.,0,1,no,no,no,no,BIT,.,.,Kazakhstan,United States,.,.,.,.,.,0,Indirect Expropriation,1,1,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"From Iareporter: ""The award in that case has never been published, thanks to an agreement between the parties whereby the Republic would pay the award in return for it not being published.""",NA,NA,1996,OIL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
NA,NA,ct15,11,1996,FEDAX v. Venezuela,FEDAX N.V. v. The Republic of Venezuela,(ICSID Case No. ARB/96/3),"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Venezuela, Bolivarian Republic of",Netherlands,Ownership of government promissory notes.,Claims arising out of the alleged lack of payment of certain debt instruments issued by the Government which were assigned by way of endorsement to the claimant.,Tertiary: K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),President,"Orrego Vicuña, F.","Heth, M.","Owen, B. R.",Decided in favour of investor,Decision on Jurisdiction dated 11 July 1997,Award dated 9 March 1998,N/A,N/A,N/A,N/A,N/A,0.60 mln USD,0.60 mln USD,Umbrella clause,Umbrella clause,No claim,No claim,No claim,No claim,No claim,No claim,No claim,No claim,Umbrella clause,None,http://www.italaw.com/cases/432,https://icsid.worldbank.org/en/Pages/cases/casedetail.aspx?CaseNo=ARB/96/3,694,VL,VEN,1996,1998,NLD,FEDAX NV v. Republic of Venezuela,ICSID,ARB/96/3,FIN,Ownership of government promissory notes.,Claims arising out of the alleged lack of payment of certain debt instruments issued by the Government which were assigned by way of endorsement to the claimant.,1,investor,1,0,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,"For details on case, see ""Fedax N.V. v. The Republic of Venezuela, ICSID Case No. ARB/96/3."" Accessed online at: https://www.italaw.com/sites/default/files/case-documents/ita0315_0.pdf",.,.,.,.,.,.,.,.,.,1,matched (3),matched (3),no evidence,no,no evidence,no evidence,FEDAX NV v. Republic of Venezuela,no,.,.,0,1,no,no,no,no,BIT,.,.,Netherlands,Venezuela,.,.,.,.,.,1,Umbrella Clause,1,1,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,0,.,"""Other objections to jurisdiction were originally raised by the Republic of Venezuela, but the record before the Tribunal expressely indicates that these other matters will not be pursued, and hence that there is no need for the Tribunal to consider them any further.""",Unnecessary,"Decree 2636 (Reglamento de la Ley de Crédito Público, 2 December 1992), cited in the fillings as ""the Law on Public Credit""",Executive,.,No change,.,.,.,.,.,.,.,.,.,NA,NA,NA,1996,FIN,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,ct16,12,1996,Sedelmayer v. Russia,Mr. Franz Sedelmayer v. The Russian Federation,N/A,Germany - Russian Federation BIT (1989),Russian Federation,Germany,Property rights in joint stock company engaged in the delivery of law enforcement equipment and relevant training.,Claims arising out of the alleged confiscation of the investor's property as a result of certain directive issued by the President of the Russian Federation ordering transfer of the claimant's assets to a state agency.,Tertiary: N - Administrative and support service activities,80 - Security and investigation activities,SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),President,"Magnusson, S.","Wachler, J. P.","Zykin, I. S.",Decided in favour of investor,Arbitration Award dated 7 July 1998,Dissenting Opinion of Arbitrator Prof. Ivan S. Zykin (Arbitration Award),N/A,N/A,N/A,N/A,N/A,7.60 mln USD,2.30 mln USD,Direct expropriation,Direct expropriation,No claim,No claim,No claim,No claim,No claim,No claim,No claim,No claim,Direct expropriation,"Judicial review by national courts                        /Award/decision upheld/

                                            /

                                            /",http://www.italaw.com/cases/982,http://www.biicl.org/files/3932_1998_sedelmayer_v_russia.pdf,563,"EC, VL",RUS,1996,1998,DEU,Franz Sedelmayer vs. Russian Federation,SCC,.,SER,Property rights in joint stock company engaged in the delivery of law enforcement equipment and relevant training.,Claims arising out of the alleged confiscation of the investor's property as a result of certain directive issued by the President of the Russian Federation ordering transfer of the claimant's assets to a state agency.,8,investor,2,1,.,.,.,"NA",.,.,.,.,NA,NA,NA,NA,NA,NA,NA,"For case details, see Andrew Higgins ""Beating Russia at Its Own Long Game"" February 19, 2015, NYTimes, accessed online at https://www.nytimes.com/2015/02/10/world/europe/once-friendly-with-putin-german-goes-to-court-over-seized-assets.html?_r=0",.,.,.,.,.,.,.,.,.,1,master only (1),"NA","NA",X,"NA","NA","NA",.,.,.,1,0,yes,"judicial review, City Court of Stockholm and Svea Court of Appeal",upheld,X,BIT,.,.,Germany,Russian Federation,.,.,.,.,.,1,Direct Expropriation,1,1,1,0,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,.,0,.,.,.,1,1,"The dissenting tribunal member's main argument was that the terms of the BIT were not applicable to the claimant's investment, on the grounds that his investment was channeled through an American-incorporated firm.",.,.,"""The Respondent has also pointed out that, on February 8, 1996, the City Court of St. Petersburg declared that the Shareholders Agreement and the Charter of KOC were null and void and ordered the liquidation of KOC. """,Judicial,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,1996,SER,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
